Step,Temperature
0,300
1,299.93562154628
2,299.808814053992
3,299.619714588296
4,299.368518322655
5,299.055478317325
6,298.680905237188
7,298.24516700929
8,297.74868842047
9,297.191950655565
10,296.575490776707
11,295.899901144319
12,295.165828780473
13,294.373974675315
14,293.525093037359
15,292.619990488478
16,291.6595252045
17,290.644606002375
18,289.57619137492
19,288.455288474216
20,287.282952044802
21,286.060283307822
22,284.788428797387
23,283.468579156274
24,282.101967873974
25,280.689869977273
26,279.233600705142
27,277.734514121458
28,276.194001692322
29,274.613490830868
30,272.994443389515
31,271.338354137903
32,269.646749202765
33,267.921184472923
34,266.163243979615
35,264.374538226155
36,262.556702513334
37,260.7113952532
38,258.840296240153
39,256.94510490091
40,255.027538528998
41,253.089330516695
42,251.132228560634
43,249.157992841618
44,247.16839421533
45,245.165212388808
46,243.150234084706
47,241.125251203245
48,239.092058985497
49,237.052454166045
50,235.008233125941
51,232.961190068228
52,230.913115190724
53,228.865792847318
54,226.820999725557
55,224.780503059579
56,222.746058831907
57,220.719409988775
58,218.702284697946
59,216.696394584025
60,214.70343300508
61,212.725073394462
62,210.762967537474
63,208.818743920587
64,206.894006161147
65,204.990331377303
66,203.109268624298
67,201.252337381371
68,199.42102605067
69,197.6167905022
70,195.841052654903
71,194.095199095157
72,192.380579732559
73,190.698506500074
74,189.050252102327
75,187.437048802156
76,185.860087259782
77,184.320515405708
78,182.819437373103
79,181.357912487756
80,179.936954286943
81,178.557529605593
82,177.22055770782
83,175.926909480112
84,174.677406664794
85,173.472821156805
86,172.313874326727
87,171.201236504933
88,170.135526407717
89,169.117310595083
90,168.147103130062
91,167.225365177722
92,166.352504712839
93,165.528876284428
94,164.754780814139
95,164.030465469739
96,163.356123594373
97,162.731894707559
98,162.15786454803
99,161.63406516897
100,161.160475113184
101,160.737019647539
102,160.363571035683
103,160.039948881917
104,159.765920527381
105,159.541201496854
106,159.365456016523
107,159.238297580972
108,159.159289568677
109,159.127945914753
110,159.143731841509
111,159.206064641216
112,159.314314497747
113,159.467805358447
114,159.665815872649
115,159.907580381161
116,160.192289926617
117,160.519093314655
118,160.887098243261
119,161.295372456268
120,161.742944926919
121,162.228807125408
122,162.751914276149
123,163.311186662179
124,163.905510996911
125,164.533741784642
126,165.194702751567
127,165.887188290261
128,166.609964934412
129,167.361772861035
130,168.141327420989
131,168.947320697225
132,169.778423065227
133,170.633284795102
134,171.510537668042
135,172.408796601967
136,173.326661288743
137,174.262717854888
138,175.215540533999
139,176.183693341934
140,177.165731758399
141,178.160204413058
142,179.165654764735
143,180.180622801053
144,181.203646747782
145,182.233264739212
146,183.268016499924
147,184.306445020402
148,185.34709821565
149,186.388530630553
150,187.429305051672
151,188.467994114314
152,189.503181959905
153,190.533465811464
154,191.557457560231
155,192.573785314612
156,193.581094926202
157,194.578051518364
158,195.563340963003
159,196.535671323217
160,197.493774273345
161,198.436406509286
162,199.362351095781
163,200.270418796036
164,201.159449356562
165,202.028312749359
166,202.875910408105
167,203.701176390284
168,204.50307850074
169,205.280619384837
170,206.032837581554
171,206.758808521287
172,207.457645469817
173,208.128500449365
174,208.770565102845
175,209.383071480255
176,209.965292814501
177,210.516543553325
178,211.036182728641
179,211.523611236221
180,211.978272340205
181,212.399655493943
182,212.787294182119
183,213.140766971688
184,213.459697848049
185,213.743756507214
186,213.992658590342
187,214.206165850854
188,214.384086294182
189,214.526274246791
190,214.632630367407
191,214.7031016177
192,214.737681159403
193,214.736408207466
194,214.6993678405
195,214.626690739002
196,214.51855287376
197,214.375175146902
198,214.196822985176
199,213.98380587936
200,213.736476865676
201,213.455231964436
202,213.140509569358
203,212.792789782544
204,212.412593698377
205,212.000482658635
206,211.55705744932
207,211.082957449302
208,210.578859755346
209,210.045478244916
210,209.483562594582
211,208.893897274934
212,208.277300509831
213,207.634623180367
214,206.966747699386
215,206.27458686126
216,205.559082651631
217,204.821205028176
218,204.061950656218
219,203.282341629485
220,202.483424170906
221,201.66626731802
222,200.831961547516
223,199.981617383856
224,199.116364027449
225,198.23734793351
226,197.345731382305
227,196.442691017109
228,195.52941638839
229,194.607108490714
230,193.676978275043
231,192.740245160018
232,191.798135528737
233,190.851881233967
234,189.902718098545
235,188.951884407101
236,188.000619398691
237,187.05016177167
238,186.101748194914
239,185.156611800141
240,184.21598070005
241,183.281076534348
242,182.353113002619
243,181.433294408658
244,180.522814232521
245,179.622853717813
246,178.734580484383
247,177.859147122427
248,176.997689839246
249,176.15132714708
250,175.321158536622
251,174.508263200486
252,173.713698776513
253,172.938500111697
254,172.183678069313
255,171.450218374072
256,170.739080456603
257,170.051196358408
258,169.38746968948
259,168.748774580947
260,168.135954694239
261,167.549822276666
262,166.99115724984
263,166.460706337134
264,165.959182228207
265,165.487262797094
266,165.045590357158
267,164.634770970359
268,164.255373777356
269,163.907930384241
270,163.592934317232
271,163.310840498067
272,163.062064765492
273,162.846983453856
274,162.665933025784
275,162.519209746298
276,162.407069404045
277,162.32972707843
278,162.287356966519
279,162.28009223892
280,162.308024956356
281,162.371206059108
282,162.469645355693
283,162.603311591807
284,162.772132574732
285,162.975995321363
286,163.214746272642
287,163.488191550465
288,163.796097258824
289,164.138189835592
290,164.514156440395
291,164.923645399198
292,165.366266699403
293,165.841592505546
294,166.349157738736
295,166.888460698986
296,167.45896371683
297,168.060093858987
298,168.691243654728
299,169.351771877068
300,170.041004365544
300,170.041004365544
301,170.758207625247
302,171.502618430627
303,172.273471329804
304,173.069971660782
305,173.891296546398
306,174.736595905595
307,175.604993495132
308,176.495587990478
309,177.407454086922
310,178.33964362386
311,179.291186735296
312,180.261093029345
313,181.248352777617
314,182.251938131591
315,183.270804356499
316,184.303891075495
317,185.350123552584
318,186.408413954046
319,187.47766263038
320,188.55675942955
321,189.644585018755
322,190.740012189257
323,191.84190716747
324,192.949130966046
325,194.060540702399
326,195.174990929833
327,196.291334971071
328,197.408426245027
329,198.525119594939
330,199.640272592616
331,200.752746865076
332,201.861409402229
333,202.96513383466
334,204.062801730467
335,205.153303866711
336,206.235541465472
337,207.308427458644
338,208.370887698645
339,209.421862145904
340,210.460306082935
341,211.485191256885
342,212.495507016847
343,213.490261443283
344,214.468482428356
345,215.429218746898
346,216.371541086462
347,217.294543055288
348,218.197342157448
349,219.079080744907
350,219.938926933591
351,220.776075465454
352,221.589748565272
353,222.379196763904
354,223.14369968043
355,223.882566741375
356,224.595137886033
357,225.280784239721
358,225.938908739576
359,226.568946712888
360,227.170366424252
361,227.742669587437
362,228.285391823277
363,228.798103087998
364,229.280408059837
365,229.731946472323
366,230.152393410448
367,230.541459568913
368,230.898891465325
369,231.22447160321
370,231.518018598097
371,231.779387266564
372,232.008468674013
373,232.205190113344
374,232.369515063618
375,232.501443114633
376,232.601009838437
377,232.668286601258
378,232.703380344245
379,232.706433361444
380,232.677622991888
381,232.61716126241
382,232.52529452995
383,232.402303070947
384,232.248500625967
385,232.064233896803
386,231.849882021695
387,231.60585602501
388,231.3325982063
389,231.030581512258
390,230.700308859133
391,230.342312425874
392,229.9571529362
393,229.545418891715
394,229.107725759937
395,228.644715165154
396,228.157054042751
397,227.645433747222
398,227.110569146607
399,226.553197711197
400,225.974078550555
401,225.373991433664
402,224.753735802805
403,224.11412976011
404,223.456009035835
405,222.780225939493
406,222.087648296948
407,221.379158362105
408,220.655651724757
409,219.918036208387
410,219.167230770254
411,218.404164369504
412,217.62977482612
413,216.845007703647
414,216.050815162921
415,215.248154815571
416,214.437988577823
417,213.621281519993
418,212.799000731774
419,211.972114176885
420,211.141589544959
421,210.30839311275
422,209.473488625196
