Step,Temperature
0,300
1,299.808808961985
2,299.368487255661
3,298.680827529892
4,297.748543772665
5,296.575259398278
6,295.165491532991
7,293.524631571375
8,291.658922091648
9,289.575430233981
10,287.282017660904
11,284.787307233578
12,282.100646573567
13,279.232068592929
14,276.192249247217
15,272.99246271709
16,269.644534117932
17,266.1607900515
18,262.554007086787
19,258.837358490833
20,255.024359461641
21,251.128811033613
22,247.164742916872
23,243.14635551909
24,239.087961445233
25,235.003926631949
26,230.908611467685
27,226.816312097433
28,222.741202176395
29,218.697275357171
30,214.698288651501
31,210.757707084091
32,206.888649700489
33,203.103837144047
34,199.415541490394
35,195.835537760802
36,192.375057767402
37,189.04474677203
38,185.854622558435
39,182.814037417629
40,179.931643164776
41,177.215359320341
42,174.672344563131
43,172.308971533579
44,170.130805312392
45,168.142585302965
46,166.348210741014
47,164.750730168394
48,163.352334480706
49,162.154353784658
50,161.157257995629
51,160.36066122135
52,159.763329928731
53,159.36319469972
54,159.157365660707
55,159.142151457376
56,159.313081664789
57,159.664932484479
58,160.191755698151
59,160.886910686911
60,161.743099315571
61,162.752403662052
62,163.906326223226
63,165.195832462605
64,166.611395613916
65,168.143043446889
66,169.780406764635
67,171.512769413172
68,173.329119564372
69,175.21820205833
70,177.168571584386
71,179.168646392495
72,181.206762298477
73,183.271226814416
74,185.350373025157
75,187.432613146566
76,189.506491360358
77,191.560735679689
78,193.584308741475
79,195.566457229143
80,197.496759682581
81,199.365172488987
82,201.162073908555
83,202.87830583716
84,204.50521322789
85,206.034680946395
86,207.45916789511
87,208.771738308213
88,209.966089964564
89,211.036580625454
90,211.978246172442
91,212.786821843559
92,213.458759970257
93,213.991238040491
94,214.38216829937
95,214.630202621191
96,214.734733929037
97,214.695894067659
98,214.514548226328
99,214.192285935239
100,213.731408727689
100,213.731408727689
101,213.134804970391
102,212.406029265056
103,211.549397300407
104,210.56985774145
105,209.472964538618
106,208.264846521986
107,206.95217444248
108,205.542125652531
109,204.042346574206
110,202.460913093252
111,200.806289214426
112,199.087284063119
113,197.313007472975
114,195.492824402412
115,193.636308357188
116,191.753194111261
117,189.85332987122
118,187.946629172935
119,186.043022728175
120,184.152410383793
121,182.28461352174
122,180.449328084997
123,178.656078434393
124,176.914172211071
125,175.232656468685
126,173.620275336577
127,172.085429244002
128,170.636136028038
129,169.279994036652
130,168.024147390304
131,166.875253612278
132,165.83945370987
133,164.922344830812
134,164.128955672575
135,163.463724676241
136,162.930481120009
137,162.532429206407
138,162.272135197085
139,162.151517665541
140,162.171840775971
141,162.333710759086
142,162.637075501147
143,163.081227212713
144,163.664808254644
145,164.38581997103
146,165.241634503957
147,166.229009500619
148,167.344105682461
149,168.582507166129
150,169.93924433436
151,171.408819248154
152,172.985233422008
153,174.662017810131
154,176.432264853777
155,178.288662427181
156,180.223529531282
157,182.228853524821
158,184.296328713829
159,186.417396156651
160,188.583284381832
161,190.785050933665
162,193.013624507208
163,195.259847416129
164,197.514518308331
165,199.768434786058
166,202.01243581771
167,204.237443703797
168,206.434505436959
169,208.594833248338
170,210.70984409927
171,212.771198020116
172,214.770835086248
173,216.701010864732
174,218.554330138447
175,220.323778831038
176,222.00275388986
177,223.58509108958
178,225.06509065667
179,226.43754047002
180,227.697736871491
181,228.841502947815
182,229.865204228698
183,230.765761725756
184,231.540662282491
185,232.187966188914
186,232.706312073016
187,233.094919019339
188,233.353585970827
189,233.482688373679
190,233.483172175923
191,233.356545172001
192,233.104865727765
193,232.730729046287
194,232.237250976584
195,231.62804951957
196,230.907224038698
197,230.079332400429
198,229.149366148303
199,228.12272376243
200,227.005182234597
201,225.802867052313
202,224.522220775276
203,223.169970397915
204,221.753093559891
205,220.278783810151
206,218.754415187134
207,217.187506239256
208,215.585683616126
209,213.956645445398
210,212.30812465069
211,210.647852389282
212,208.983521847753
213,207.322752534554
214,205.673055171827
215,204.041797391151
216,202.436170410574
217,200.863156879829
218,199.329499933681
219,197.841673720403
220,196.405855400602
221,195.027898797773
222,193.713309909914
223,192.467224321163
224,191.294386464227
225,190.199130981889
226,189.185366292157
227,188.256560274334
228,187.415728283882
229,186.66542339707
230,186.007728984809
231,185.444253610488
232,184.97612827065
233,184.604006012187
234,184.328063858086
235,184.148007002321
