# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0.00164759 0.000325
36 0.8875 0.0244185 0.005425
37 0.9125 0.159088 0.04055
38 0.9375 0.532389 0.164625
39 0.9625 1.10209 0.43535
40 0.9875 1.73152 0.883075
41 1.0125 2.19447 1.4796
42 1.0375 2.44176 2.17653
43 1.0625 2.48672 2.9209
44 1.0875 2.35681 3.65998
45 1.1125 2.22991 4.39177
46 1.1375 2.02287 5.0858
47 1.1625 1.78736 5.72627
48 1.1875 1.61107 6.32867
49 1.2125 1.43245 6.88707
50 1.2375 1.26693 7.40152
51 1.2625 1.16928 7.8957
52 1.2875 1.07136 8.3666
53 1.3125 0.97538 8.81212
54 1.3375 0.903946 9.2409
55 1.3625 0.843196 9.65595
56 1.3875 0.800792 10.0647
57 1.4125 0.765467 10.4697
58 1.4375 0.731865 10.8707
59 1.4625 0.708646 11.2726
60 1.4875 0.693037 11.6792
61 1.5125 0.68433 12.0943
62 1.5375 0.680444 12.5208
63 1.5625 0.683136 12.963
64 1.5875 0.695499 13.4277
65 1.6125 0.717977 13.9227
66 1.6375 0.731384 14.4428
67 1.6625 0.75298 14.9946
68 1.6875 0.767289 15.5739
69 1.7125 0.809319 16.2032
70 1.7375 0.848192 16.8822
71 1.7625 0.887615 17.6133
72 1.7875 0.916667 18.3899
73 1.8125 0.957824 19.2242
74 1.8375 0.997674 20.1174
75 1.8625 1.03543 21.0698
76 1.8875 1.06816 22.0788
77 1.9125 1.1136 23.1588
78 1.9375 1.14286 24.2964
79 1.9625 1.16889 25.49
80 1.9875 1.18636 26.7326
81 2.0125 1.20256 28.024
82 2.0375 1.20648 29.3521
83 2.0625 1.20806 30.7146
84 2.0875 1.20035 32.1016
85 2.1125 1.178 33.4955
86 2.1375 1.15907 34.8996
87 2.1625 1.11807 36.286
88 2.1875 1.09993 37.6816
89 2.2125 1.0725 39.0736
90 2.2375 1.0555 40.4747
91 2.2625 1.02009 41.8593
92 2.2875 0.991036 43.2343
93 2.3125 0.974855 44.6166
94 2.3375 0.95087 45.9941
95 2.3625 0.934772 47.3775
96 2.3875 0.920211 48.7683
97 2.4125 0.909549 50.1719
